The first table given below gives the best feasible solution value
found by the algorithms given in
- J.E.Beasley and P.C.Chu "A genetic algorithm for the multidimensional knapsack problem" Journal of Heuristics, 4: 63–86 (1998)
- M. Vasquez and Y. Vimont "Improved results on the 0–1 multidimensional knapsack problem" European Journal of Operational Research 165 (2005) 70–81
- E. Angelelli, R. Mansini, M.G. Speranza "Kernel Search: a heuristic framework for MILP problems with binary variables", Technical Report 2007-04-56 of Department of Electronics and Automation, University of Brescia (2007)
- Best of all
The second table given below gives the value of the LP relaxation
for each of the problems.



Problem_Name	Beasley (1998)	Vasquez (2005)	Angelelli (2007)	Best_Feasible_Solution_Value
5.100-00	24381	24381	24381	24381
5.100-01	24274	24274	24274	24274
5.100-02	23551	23551	23551	23551
5.100-03	23534	23534	23534	23534
5.100-04	23991	23991	23991	23991
5.100-05	24613	24613	24613	24613
5.100-06	25591	25591	25591	25591
5.100-07	23410	23410	23410	23410
5.100-08	24216	24216	24216	24216
5.100-09	24411	24411	24411	24411
5.100-10	42757	42757	42757	42757
5.100-11	42545	42545	42545	42545
5.100-12	41968	41968	41968	41968
5.100-13	45090	45090	45090	45090
5.100-14	42218	42218	42218	42218
5.100-15	42927	42927	42927	42927
5.100-16	42009	42009	42009	42009
5.100-17	45020	45020	45020	45020
5.100-18	43441	43441	43441	43441
5.100-19	44554	44554	44554	44554
5.100-20	59822	59822	59822	59822
5.100-21	62081	62081	62081	62081
5.100-22	59802	59802	59802	59802
5.100-23	60479	60479	60479	60479
5.100-24	61091	61091	61091	61091
5.100-25	58959	58959	58959	58959
5.100-26	61538	61538	61538	61538
5.100-27	61520	61520	61520	61520
5.100-28	59453	59453	59453	59453
5.100-29	59965	59965	59965	59965
5.250-00	59312	59312	59312	59312
5.250-01	61472	61472	61472	61472
5.250-02	62130	62130	62130	62130
5.250-03	59446	59446	59463	59463
5.250-04	58951	58951	58951	58951
5.250-05	60056	60056	60077	60077
5.250-06	60414	60414	60414	60414
5.250-07	61472	61472	61472	61472
5.250-08	61885	61885	61885	61885
5.250-09	58959	58959	58959	58959
5.250-10	109109	109109	109109	109109
5.250-11	109841	109841	109841	109841
5.250-12	108489	108489	108508	108508
5.250-13	109383	109383	109383	109383
5.250-14	110720	110720	110720	110720
5.250-15	110256	110256	110256	110256
5.250-16	109016	109016	109040	109040
5.250-17	109037	109037	109042	109042
5.250-18	109957	109957	109971	109971
5.250-19	107038	107038	107058	107058
5.250-20	149659	149659	149665	149665
5.250-21	155940	155940	155944	155944
5.250-22	149316	149316	149334	149334
5.250-23	152130	152130	152130	152130
5.250-24	150353	150353	150353	150353
5.250-25	150045	150045	150045	150045
5.250-26	148607	148607	148607	148607
5.250-27	149772	149772	149782	149782
5.250-28	155075	155075	155075	155075
5.250-29	154662	154662	154668	154668
5.500-00	120130	120148	120148	120148
5.500-01	117837	117879	117879	117879
5.500-02	121109	121131	121131	121131
5.500-03	120798	120804	120804	120804
5.500-04	122319	122319	122319	122319
5.500-05	122007	122024	122024	122024
5.500-06	119113	119127	119127	119127
5.500-07	120568	120568	120568	120568
5.500-08	121575	121575	121575	121575
5.500-09	120699	120717	120717	120717
5.500-10	218422	218428	218428	218428
5.500-11	221191	221202	221202	221202
5.500-12	217534	217542	217542	217542
5.500-13	223558	223560	223560	223560
5.500-14	218962	218966	218966	218966
5.500-15	220514	220530	220530	220530
5.500-16	219987	219989	219989	219989
5.500-17	218194	218215	218215	218215
5.500-18	216976	216976	216976	216976
5.500-19	219693	219719	219719	219719
5.500-20	295828	295828	295828	295828
5.500-21	308077	308086	308086	308086
5.500-22	299796	299796	299796	299796
5.500-23	306476	306480	306480	306480
5.500-24	300342	300342	300342	300342
5.500-25	302560	302571	302571	302571
5.500-26	301322	301339	301339	301339
5.500-27	306430	306454	306454	306454
5.500-28	302814	302828	302828	302828
5.500-29	299904	299910	299910	299910
10.100-00	23064	23064	23064	23064
10.100-01	22801	22801	22801	22801
10.100-02	22131	22131	22131	22131
10.100-03	22772	22772	22772	22772
10.100-04	22751	22751	22751	22751
10.100-05	22777	22777	22777	22777
10.100-06	21875	21875	21875	21875
10.100-07	22635	22635	22635	22635
10.100-08	22511	22511	22511	22511
10.100-09	22702	22702	22702	22702
10.100-10	41395	41395	41395	41395
10.100-11	42344	42344	42344	42344
10.100-12	42401	42401	42401	42401
10.100-13	45624	45624	45624	45624
10.100-14	41884	41884	41884	41884
10.100-15	42995	42995	42995	42995
10.100-16	43559	43559	43574	43574
10.100-17	42970	42970	42970	42970
10.100-18	42212	42212	42212	42212
10.100-19	41207	41207	41207	41207
10.100-20	57375	57375	57375	57375
10.100-21	58978	58978	58978	58978
10.100-22	58391	58391	58391	58391
10.100-23	61966	61966	61966	61966
10.100-24	60803	60803	60803	60803
10.100-25	61437	61437	61437	61437
10.100-26	56377	56377	56377	56377
10.100-27	59391	59391	59391	59391
10.100-28	60205	60205	60205	60205
10.100-29	60633	60633	60633	60633
10.250-00	59187	59187	59187	59187
10.250-01	58662	58662	58781	58781
10.250-02	58094	58094	58097	58097
10.250-03	61000	61000	61000	61000
10.250-04	58092	58092	58092	58092
10.250-05	58803	58803	58824	58824
10.250-06	58607	58607	58704	58704
10.250-07	58917	58917	58933	58933
10.250-08	59384	59384	59387	59387
10.250-09	59193	59193	59208	59208
10.250-10	110863	110863	110913	110913
10.250-11	108659	108659	108717	108717
10.250-12	108932	108932	108932	108932
10.250-13	110037	110037	110086	110086
10.250-14	108423	108423	108485	108485
10.250-15	110841	110841	110845	110845
10.250-16	106075	106075	106077	106077
10.250-17	106686	106686	106686	106686
10.250-18	109825	109825	109829	109829
10.250-19	106723	106723	106723	106723
10.250-20	151790	151790	151809	151809
10.250-21	148772	148772	148772	148772
10.250-22	151900	151900	151909	151909
10.250-23	151275	151275	151324	151324
10.250-24	151948	151948	151966	151966
10.250-25	152109	152109	152109	152109
10.250-26	153131	153131	153131	153131
10.250-27	153520	153520	153578	153578
10.250-28	149155	149155	149160	149160
10.250-29	149704	149704	149704	149704
10.500-00	117726	117811	117809	117811
10.500-01	119139	119232	119191	119232
10.500-02	119159	119215	119211	119215
10.500-03	118802	118802	118813	118813
10.500-04	116434	116509	116509	116509
10.500-05	119454	119504	119481	119504
10.500-06	119749	119827	119810	119827
10.500-07	118288	118329	118320	118329
10.500-08	117779	117815	117779	117815
10.500-09	119125	119231	119211	119231
10.500-10	217318	217377	217377	217377
10.500-11	219022	219077	219053	219077
10.500-12	217772	217806	217847	217847
10.500-13	216802	216868	216868	216868
10.500-14	213809	213859	213846	213859
10.500-15	215013	215086	215086	215086
10.500-16	217896	217940	217931	217940
10.500-17	219949	219984	219984	219984
10.500-18	214332	214375	214351	214375
10.500-19	220833	220899	220886	220899
10.500-20	304344	304387	304363	304387
10.500-21	302332	302379	302345	302379
10.500-22	302354	302416	302416	302416
10.500-23	300743	300757	300757	300757
10.500-24	304344	304374	304374	304374
10.500-25	301730	301836	301767	301836
10.500-26	304949	304952	304949	304952
10.500-27	296437	296478	296456	296478
10.500-28	301313	301359	301357	301359
10.500-29	307014	307089	307089	307089
30.100-00	21946	21946	21946	21946
30.100-01	21716	21716	21716	21716
30.100-02	20754	20754	20754	20754
30.100-03	21464	21464	21464	21464
30.100-04	21814	21814	21844	21844
30.100-05	22176	22176	22176	22176
30.100-06	21799	21799	21799	21799
30.100-07	21397	21397	21397	21397
30.100-08	22493	22493	22525	22525
30.100-09	20983	20983	20983	20983
30.100-10	40767	40767	40767	40767
30.100-11	41304	41304	41308	41308
30.100-12	41560	41560	41630	41630
30.100-13	41041	41041	41041	41041
30.100-14	40872	40872	40889	40889
30.100-15	41058	41058	41058	41058
30.100-16	41062	41062	41062	41062
30.100-17	42719	42719	42719	42719
30.100-18	42230	42230	42230	42230
30.100-19	41700	41700	41700	41700
30.100-20	57494	57494	57494	57494
